speakerid,native_language,native_lang_code,age,wer,mer,L1_American,L1_Australian,L1_British,L1_Canadian,sex_0,sex_1
3035,American,10,32,0.028985507,0.028985507,1,0,0,0,1,0
3031,American,10,18,0.028985507,0.028985507,1,0,0,0,0,1
2979,American,10,60,0.028985507,0.028985507,1,0,0,0,1,0
2939,American,10,39,0.028985507,0.028985507,1,0,0,0,0,1
2932,American,10,30,0.028985507,0.028985507,1,0,0,0,0,1
2925,American,10,35,0.028985507,0.028985507,1,0,0,0,0,1
2923,American,10,71,0.028985507,0.028985507,1,0,0,0,0,1
2918,American,10,69,0.028985507,0.028985507,1,0,0,0,1,0
2916,American,10,27,0.028985507,0.028985507,1,0,0,0,1,0
2895,American,10,53,0.028985507,0.028985507,1,0,0,0,1,0
2894,American,10,31,0.028985507,0.028985507,1,0,0,0,1,0
2855,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
2803,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
2724,American,10,31,0.028985507,0.028985507,1,0,0,0,1,0
2674,American,10,22,0.028985507,0.028985507,1,0,0,0,0,1
2428,American,10,19,0.028985507,0.028985507,1,0,0,0,1,0
2405,American,10,18,0.028985507,0.028985507,1,0,0,0,1,0
2385,American,10,38,0.028985507,0.028985507,1,0,0,0,1,0
2383,American,10,35,0.028985507,0.028985507,1,0,0,0,1,0
2382,American,10,19,0.028985507,0.028985507,1,0,0,0,1,0
2381,American,10,35,0.028985507,0.028985507,1,0,0,0,0,1
2376,American,10,19,0.028985507,0.028985507,1,0,0,0,1,0
2374,American,10,66,0.028985507,0.028985507,1,0,0,0,1,0
2221,American,10,67,0.028985507,0.028985507,1,0,0,0,0,1
2170,American,10,29,0.028985507,0.028985507,1,0,0,0,1,0
2167,American,10,18,0.028985507,0.028985507,1,0,0,0,0,1
2121,American,10,18,0.028985507,0.028985507,1,0,0,0,0,1
2103,American,10,20,0.028985507,0.028985507,1,0,0,0,1,0
2101,American,10,52,0.028985507,0.028985507,1,0,0,0,1,0
2060,American,10,25,0.028985507,0.028985507,1,0,0,0,0,1
2059,American,10,25,0.028985507,0.028985507,1,0,0,0,0,1
2056,American,10,36,0.028985507,0.028985507,1,0,0,0,1,0
